id,cross_session_id,GFP,Slc17a7,Ndnf,Hpse,Pthlh,Chat,Tac1,Calb1,Mme,Crh,Reln,Tac2,Lamp5,Calb2,Pdyn,Penk,Gad2,Npy,Pvalb,Cck,Sst,Vip,mouse_id,Ptprt,Nos1,Chrna4
2,385,576,23,21,6.0,12,8.0,10,64,,59,99,5,,13,,1.0,447,494,3,115,147,1,767018,23.0,47.0,20.0
3,363,253,8,10,0.0,38,3.0,4,57,,119,16,234,,4,,1.0,84,112,2,66,27,201,767018,4.0,5.0,10.0
4,369,415,11,33,4.0,23,33.0,24,41,,30,40,3,,13,,1.0,336,446,8,105,185,2,767018,14.0,50.0,22.0
5,347,310,1,17,8.0,10,4.0,10,57,,119,27,211,,47,,2.0,59,4,3,36,26,227,767018,3.0,2.0,39.0
6,393,575,29,34,4.0,16,7.0,12,56,,53,49,7,,17,,6.0,540,656,6,107,307,3,767018,17.0,53.0,32.0
7,374,502,5,48,10.0,23,14.0,30,56,,35,66,8,,46,,4.0,429,540,22,103,344,8,767018,15.0,40.0,41.0
8,331,194,6,11,7.0,34,4.0,7,32,,52,23,1,,8,,84.0,112,1,4,44,11,154,767018,5.0,4.0,11.0
9,364,332,6,22,12.0,35,12.0,4,53,,3,43,117,,85,,74.0,52,9,4,30,18,238,767018,7.0,6.0,30.0
10,351,283,4,15,5.0,32,6.0,11,67,,160,30,326,,21,,2.0,58,182,4,61,68,256,767018,3.0,1.0,27.0
11,356,270,4,15,5.0,18,4.0,16,72,,128,17,289,,34,,24.0,47,6,4,94,20,220,767018,4.0,1.0,47.0
12,352,223,2,9,10.0,40,1.0,3,29,,3,29,182,,201,,101.0,36,0,0,20,21,292,767018,4.0,2.0,28.0
13,366,266,1,13,3.0,48,11.0,15,38,,39,22,291,,184,,5.0,68,245,4,43,71,229,767018,7.0,8.0,16.0
14,324,317,18,35,21.0,50,22.0,18,76,,156,77,283,,43,,15.0,74,190,5,107,71,142,767018,12.0,12.0,19.0
15,371,237,0,8,40.0,13,3.0,5,70,,205,81,9,,222,,329.0,103,1,3,21,3,2,767018,16.0,3.0,22.0
16,391,371,18,17,13.0,76,18.0,14,42,,8,38,7,,196,,108.0,90,6,3,28,25,235,767018,23.0,13.0,40.0
17,373,365,4,21,17.0,23,8.0,34,55,,266,28,300,,16,,4.0,49,3,2,149,22,242,767018,8.0,6.0,51.0
18,367,333,9,25,14.0,96,9.0,10,23,,9,33,3,,174,,57.0,90,3,4,17,24,182,767018,27.0,14.0,42.0
19,394,334,10,26,12.0,111,17.0,20,80,,165,41,310,,218,,2.0,108,190,6,54,56,374,767018,11.0,25.0,23.0
20,388,266,2,7,4.0,31,7.0,11,35,,132,15,118,,115,,3.0,43,2,6,46,16,136,767018,6.0,4.0,41.0
21,344,352,41,30,10.0,27,17.0,111,190,,12,42,4,,135,,2.0,153,115,34,41,312,6,767018,134.0,34.0,20.0
22,360,598,36,34,15.0,39,37.0,27,48,,22,59,7,,33,,7.0,364,558,8,126,342,2,767018,18.0,50.0,27.0
24,378,320,9,9,3.0,78,7.0,14,53,,99,27,216,,24,,13.0,100,95,3,27,44,256,767018,11.0,14.0,20.0
25,301,260,14,13,22.0,34,17.0,24,28,,9,36,49,,86,,143.0,69,4,7,18,12,142,767018,7.0,12.0,38.0
28,381,261,5,9,10.0,59,49.0,10,13,,4,30,0,,130,,13.0,29,0,2,16,8,136,767018,18.0,14.0,14.0
29,392,231,1,6,30.0,13,4.0,17,40,,124,57,4,,19,,156.0,90,3,3,14,2,1,767018,12.0,9.0,14.0
30,355,282,9,6,3.0,66,7.0,7,56,,82,25,254,,55,,0.0,80,223,3,51,34,218,767018,8.0,5.0,20.0
31,334,494,8,21,5.0,21,28.0,31,66,,12,30,118,,30,,1.0,312,456,7,95,215,6,767018,15.0,42.0,25.0
32,328,308,7,11,34.0,7,11.0,16,55,,203,40,113,,63,,130.0,50,4,1,23,21,255,767018,7.0,9.0,37.0
33,346,288,13,9,9.0,90,13.0,11,39,,62,16,206,,136,,88.0,44,0,5,42,12,182,767018,5.0,10.0,45.0
34,338,249,7,7,1.0,57,10.0,7,44,,81,9,215,,38,,0.0,70,57,1,19,9,185,767018,4.0,6.0,14.0
35,387,366,13,58,23.0,28,35.0,304,464,,28,77,4,,46,,11.0,189,226,27,77,80,6,767018,136.0,44.0,10.0
36,383,288,7,40,9.0,14,4.0,19,365,,9,44,1,,106,,6.0,181,92,84,39,510,6,767018,56.0,12.0,12.0
37,329,343,10,15,6.0,22,6.0,7,72,,97,27,295,,25,,5.0,47,3,4,64,14,207,767018,6.0,9.0,42.0
38,380,423,3,26,20.0,84,1.0,17,57,,66,56,36,,335,,112.0,270,4,14,51,42,453,767018,49.0,23.0,25.0
40,368,294,4,22,4.0,39,6.0,20,64,,253,28,290,,53,,5.0,73,4,3,209,19,227,767018,3.0,6.0,60.0
41,375,278,5,15,19.0,70,2.0,17,41,,6,51,116,,239,,45.0,48,6,6,22,14,202,767018,11.0,8.0,26.0
42,384,272,10,74,24.0,91,15.0,61,102,,11,91,11,,79,,12.0,230,61,677,146,55,15,767018,50.0,16.0,20.0
